File	Author	Title
sources/dlt000225/dlt000225.xml	Fulgentius (Fabius Planciades Fulgentius)	Expositio sermonum antiquorum
sources/dlt000356/dlt000356.xml	Martyrius	De b muta et u uocali
sources/dlt000092/dlt000092.xml	Clodianus	Libellus de statibus
sources/dlt000458/dlt000458.xml	Anonyme	Scholia in orationes Ciceronis codicum Cluniacensis 498 et Ambrosiani C 29
sources/dlt000083/dlt000083.xml	Censorinus (ps.)	Fragmentum Censorini(epitoma disciplinarum)
sources/dlt000076/dlt000076.xml	Cassiodorus	Chronica
sources/dlt000476/dlt000476.xml	Sulpicius Victor	Institutiones oratoriae
sources/dlt000045/dlt000045.xml	Boethius (Anicius Manlius Seuerinus Boethius)	De diuisione
sources/dlt000021/dlt000021.xml	Aquila Romanus	De figuris
sources/dlt000180/dlt000180.xml	Anonyme	Expositio totius mundi et gentium
sources/dlt000591/dlt000591.xml	Optatianus Porfyrius	Epistula Porfyrii
sources/dlt000302/dlt000302.xml	Isidorus	Dedicatio historiarum Gothorum, Vandalorum, Sueborum ad Sisenandum regem
sources/dlt000232/dlt000232.xml	Gargilius Martialis (dub.)	Curae boum ex corpore Gargili Martialis
sources/dlt000311/dlt000311.xml	Iulius Paris	Epitoma (Iulius Paris)
sources/dlt000030/dlt000030.xml	Aurelius Victor Ps.	Epitome de Caesaribus
sources/dlt000402/dlt000402.xml	Papiri(a)nus	Fragmentum de orthographia
sources/dlt000409/dlt000409.xml	 ps. Phocas 	De aspiratione
sources/dlt000027/dlt000027.xml	Audax	Excerpta de Scauro et Palladio
sources/dlt000149/dlt000149.xml	Anonyme	Donatiani fragmentum
sources/dlt000572/dlt000572.xml	Philargirius (Ps.)	Vitae Vergilii
sources/dlt000579/dlt000579.xml	Anonyme	Rufinus, 
sources/dlt000296/dlt000296.xml	Anonyme	Itinerarium Antonini Augusti
sources/dlt000396/dlt000396.xml	Mamertinus	Panegyricus dictus Treueris? a. 291 p. Chr. - Genethliacus  Maximiani Augusti
sources/dlt000189/dlt000189.xml	Florus	Epitoma de Tito Liuio
sources/dlt000154/dlt000154.xml	Donatus, Aelius	Vita Terentii
sources/dlt000084/dlt000084.xml	Marcus Cetius Faventinus	Artis architectonicae priuatis usibus adbreuiatus liber
sources/dlt000404/dlt000404.xml	Pelagonius	Ars veterinaria
sources/dlt000068/dlt000068.xml	Caelius Aurelianus	Celerum passionum libri III
sources/dlt000338/dlt000338.xml	Macrobius	In somnium Scipionis commentarii
sources/dlt000365/dlt000365.xml	Ianuarius Nepotianus	Epitoma
sources/dlt000001/dlt000001.xml	Agennius Vrbicus	De controuersiis agrorum
sources/dlt000453/dlt000453.xml	Anonyme	Adnotationes super Lucanum
sources/dlt000301/dlt000301.xml	Isidorus	Chronica
sources/dlt000039/dlt000039.xml	Boethius (Ps.) - Iacobus Veneticus Graecus (?)	Analytica posteriora Aristotelis latine uersa
sources/dlt000521/dlt000521.xml	Anonymus	De Taxone (Recensio β)
sources/dlt000196/dlt000196.xml	Anonyme	Fragmentum Berolinense de heroo hexametro
sources/dlt000171/dlt000171.xml	Eutropius	Breuiarium ab urbe condita
sources/dlt000306/dlt000306.xml	Isidorus (Isidorus Hispalensis)	Historia Gothorum, Vandalorum, Sueborum
sources/dlt000226/dlt000226.xml	Fulgentius (Fabius Planciades Fulgentius)	Expositio Vergilianae continentiae
sources/dlt000288/dlt000288.xml	Hyginus (Ps.)	De metatione (uel munitionibus) castrorum
sources/dlt000539/dlt000539.xml	pseudo-Agennius Vrbicus	Commentum de agrorum qualitate
sources/dlt000315/dlt000315.xml	Iulius Rufinianus	De figuris sententiarum et elocutionis
sources/dlt000042/dlt000042.xml	Boethius (Anicius Manlius Seuerinus Boethius)	In categorias Aristotelis commentarius
sources/dlt000038/dlt000038.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Analytica priora Aristotelis latine uersa
sources/dlt000552/dlt000552.xml	Ausonius	Epistulae
sources/dlt000181/dlt000181.xml	Iulius Exuperantius	Opusculum
sources/dlt000124/dlt000124.xml	Anonymus	De rebus bellicis
sources/dlt000392/dlt000392.xml	Anonyme	Panegyricus dictus Maximiano et Constantino (Treueris? a. 307 p. Chr.)
sources/dlt000516/dlt000516.xml	Vinidarius	Excerpta: appendix Apicii
sources/dlt000298/dlt000298.xml	Anonyme	Itinerarium Burdigalense
sources/dlt000339/dlt000339.xml	Macrobius	Saturnalia
sources/dlt000362/dlt000362.xml	Antonius Musa	De herba uettonica liber
sources/dlt000007/dlt000007.xml	Anonyme	Asclepius
sources/dlt000540/dlt000540.xml	Scriptores Historiae Augustae	Historia Augusta
sources/dlt000066/dlt000066.xml	Caelius Aurelianus / 	Gynaeciorum Sorani e graeco uersorum et retractatorum quae exstant
sources/dlt000583/dlt000583.xml	Anonyme	Vita Vergilii (Bernensis)
sources/dlt000209/dlt000209.xml	Anonyme	Fragmentum Parisinum de iambico metro
sources/dlt000407/dlt000407.xml	Philargyrius / Philagrius	Explanationes in bucolica Vergilii
sources/dlt000082/dlt000082.xml	Censorinus	De die natali liber ad Q. Caerellium
sources/dlt000550/dlt000550.xml	Caper (Ps.)	De uerbis dubiis
sources/dlt000241/dlt000241.xml	 Hegesippus	 Hegesippi qui dicitur Historiae libri 5 
sources/dlt000069/dlt000069.xml	Caelius Aurelianus	Tardarum passionum libri V
sources/dlt000524/dlt000524.xml	Anonyme	Historia Apollonii regis Tyri recensio B
sources/dlt000454/dlt000454.xml	Anonyme	Adnotationes super Lucanum: supplementum
sources/dlt000008/dlt000008.xml	Ammianus Marcellinus	Rerum gestarum libri qui supersunt
sources/dlt000501/dlt000501.xml	Flavius Vegetius Renatus	Epitoma rei militaris
sources/dlt000536/dlt000536.xml	Florus	Vergilius orator an poeta
sources/dlt000032/dlt000032.xml	Aurelius Victor Ps.	Origo gentis Romanae
sources/dlt000214/dlt000214.xml	Anonyme	Fragmentum Parisinum de rhythmo
sources/dlt000234/dlt000234.xml	Gargilius Martialis Ps.	Fragmenta
sources/dlt000065/dlt000065.xml	Caelius Aurelianus	De speciali significatione diaeticarum passionum
sources/dlt000160/dlt000160.xml	Dositheus (Ps.)	Hermeneumata Leidensia
sources/dlt000231/dlt000231.xml	Gargilius Martialis	Medicinae ex holeribus et pomis
sources/dlt000079/dlt000079.xml	Cassius Felix	De medicina
sources/dlt000145/dlt000145.xml	Diomedes	Ars grammatica
sources/dlt000470/dlt000470.xml	Anonyme	Servius, 
sources/dlt000297/dlt000297.xml	Anonymus	Itinerarium Alexandri
sources/dlt000469/dlt000469.xml	Seruius	Commentarius in Vergilii Aeneidos libros
sources/dlt000522/dlt000522.xml	Iordanes	De origine actibusque Getarum
sources/dlt000514/dlt000514.xml	Vindicianus	Epitome anonyma (quae gynaecia uocatur) recensio M
sources/dlt000554/dlt000554.xml	Vacca	Vita M. Annaei Lucani
sources/dlt000224/dlt000224.xml	Fulgentius (Fabius Planciades Fulgentius)	De aetatibus mundi et hominis
sources/dlt000479/dlt000479.xml	Quintus Aurelius Symmachus	Orationes
sources/dlt000323/dlt000323.xml	Lactantius Placidus	In Statii Thebaida commentum
sources/dlt000346/dlt000346.xml	Marcellus Empiricus	De medicamentis liber
sources/dlt000477/dlt000477.xml	Symmachus	Epistulae
sources/dlt000355/dlt000355.xml	Martianus Capella	De nuptiis Philologiae et Mercurii
sources/dlt000078/dlt000078.xml	Cassiodorus (Flauius Magnus Aurelius Cassiodorus Senator)	Institutiones
sources/dlt000543/dlt000543.xml	pseudo-Agennius Vrbicus	Commentum de controuersiis
sources/dlt000300/dlt000300.xml	Anonyme	Itinerarium Gaditanum
sources/dlt000487/dlt000487.xml	Anonyme	Testamentum Porcelli
sources/dlt000295/dlt000295.xml	Iordanes	De summa temporum uel origine actibusque gentis Romanorum.
sources/dlt000320/dlt000320.xml	Iulius Victor	Ars rhetorica
sources/dlt000557/dlt000557.xml	Emporius Rhetor	Praeceptum de loco communi
sources/dlt000570/dlt000570.xml	 Asper (Aemilius Asper?) 	σχήματα λόγου
sources/dlt000172/dlt000172.xml	Eutyches	Ars de uerbo
sources/dlt000565/dlt000565.xml	Seruius	Vita Vergilii
sources/dlt000357/dlt000357.xml	Maximus Victorinus	De ratione metrorum
sources/dlt000511/dlt000511.xml	Vindicianus	Expositionis membrorum epitome anonyma altera uberior
sources/dlt000459/dlt000459.xml	Anonyme	Scholia in orationes Ciceronis Gronouiana codicis Voss. lat. Q 138
